neighborhood,avg_price,avg_rating,avg_bathrooms,avg_bedrooms,avg_beds,total_listings
Downtown/Civic Center,895.76,4.7,1.08,0.77,1.6,449
Castro/Upper Market,767.15,4.88,1.36,1.57,1.9,211
South of Market,505.08,4.77,1.38,1.3,1.54,313
Financial District,445.04,4.71,1.22,1.03,1.76,79
Western Addition,405.71,4.8,1.36,1.55,1.86,343
Pacific Heights,405.57,4.83,1.41,1.45,1.81,124
Russian Hill,403.37,4.85,1.42,1.56,2.07,122
Presidio,346.11,4.87,1.83,1.44,2.11,9
Diamond Heights,321.3,4.83,1.75,2.4,2.9,10
Twin Peaks,292.38,4.88,1.4,1.74,2.29,42
Presidio Heights,292.26,4.71,1.48,1.59,2.07,27
North Beach,287.98,4.8,1.39,1.34,1.78,104
Marina,287.56,4.82,1.3,1.44,1.86,161
Noe Valley,268.79,4.89,1.31,1.65,1.9,163
Inner Sunset,267.79,4.84,1.48,1.63,2.05,119
Haight Ashbury,247.48,4.77,1.51,1.78,2.16,161
Inner Richmond,232.48,4.81,1.44,1.62,2.08,149
Potrero Hill,230.96,4.86,1.3,1.46,1.74,112
Seacliff,222.75,4.95,1.5,1.63,2.0,8
Bernal Heights,212.37,4.87,1.31,1.67,2.11,189
Glen Park,207.69,4.88,1.17,1.53,2.0,32
Mission,192.11,4.85,1.32,1.6,1.83,362
Outer Richmond,182.42,4.79,1.27,1.6,2.06,142
West of Twin Peaks,181.39,4.82,1.32,1.42,1.88,77
Nob Hill,177.19,4.78,1.23,1.11,1.48,177
Outer Sunset,173.44,4.83,1.25,1.53,1.95,275
Chinatown,173.07,4.77,1.07,0.85,1.44,59
Parkside,170.41,4.83,1.29,1.7,2.26,109
Outer Mission,145.0,4.79,1.32,1.58,1.89,104
Ocean View,135.09,4.74,1.24,1.65,1.91,74
Bayview,132.35,4.79,1.33,1.53,1.97,105
Visitacion Valley,130.34,4.86,1.13,1.36,1.93,44
Lakeshore,130.32,4.81,1.2,1.39,1.64,44
Golden Gate Park,116.0,4.59,1.33,1.0,1.0,3
Excelsior,114.43,4.76,1.33,1.48,1.71,130
Crocker Amazon,95.44,4.79,1.34,1.34,1.56,41
